City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Los Llanos De Aridane,ES,2022-06-17 21:41:36,28.6585,-17.9182,67.75,87,100,18.41
1,Hermanus,ZA,2022-06-17 21:41:36,-34.4187,19.2345,57.67,67,58,12.44
2,Mataura,NZ,2022-06-17 21:41:36,-46.1927,168.8643,38.48,92,75,1.63
3,Busselton,AU,2022-06-17 21:41:37,-33.65,115.3333,56.26,69,100,23.38
4,Obama,JP,2022-06-17 21:41:37,35.4958,135.746,70.95,81,100,6.29
5,Nador,MA,2022-06-17 21:41:37,35.174,-2.9287,75.27,94,0,5.75
6,Thompson,CA,2022-06-17 21:41:38,55.7435,-97.8558,64.56,20,20,5.75
7,Rio Cuarto,AR,2022-06-17 21:41:38,-33.1307,-64.3499,55.17,28,0,8.05
8,Qaanaaq,GL,2022-06-17 21:41:34,77.484,-69.3632,39.9,76,5,4.34
9,Dikson,RU,2022-06-17 21:41:38,73.5069,80.5464,30.27,94,77,11.3
10,Eureka,US,2022-06-17 21:41:39,40.8021,-124.1637,67.12,61,21,8.99
11,Pringsewu,ID,2022-06-17 21:41:39,-5.3582,104.9744,72.99,90,99,0.04
12,Barrow,US,2022-06-17 21:41:40,71.2906,-156.7887,37.42,87,100,10.36
13,Cape Town,ZA,2022-06-17 21:38:16,-33.9258,18.4232,57.11,90,75,21.85
14,Darovskoy,RU,2022-06-17 21:41:40,58.77,47.9564,51.6,90,63,4.14
15,Kaka,TM,2022-06-17 21:41:40,37.3482,59.6143,83.43,27,0,6.46
16,Tasiilaq,GL,2022-06-17 21:41:41,65.6145,-37.6368,42.96,83,85,8.28
17,Vaini,TO,2022-06-17 21:41:41,-21.2,-175.2,78.96,89,75,8.05
18,Atuona,PF,2022-06-17 21:41:41,-9.8,-139.0333,77.77,69,0,16.06
19,Punta Arenas,CL,2022-06-17 21:41:42,-53.15,-70.9167,35.71,60,75,13.8
20,Alindao,CF,2022-06-17 21:41:42,5.0267,21.2088,70.27,98,100,6.44
21,Castro,BR,2022-06-17 21:41:42,-24.7911,-50.0119,60.08,95,98,9.13
22,Touros,BR,2022-06-17 21:40:56,-5.1989,-35.4608,75.72,76,26,9.6
23,Fortuna,US,2022-06-17 21:41:43,40.5982,-124.1573,66.85,57,20,12.66
